Battery,Battery_rating,Brand,Camera_rating,DisplayResolution,DisplaySize,Display_rating,OS,Performance_rating,Primary_Camera,Processor,ProductBig_img0,ProductBig_img0,ProductBig_img1,ProductBig_img2,ProductBig_img3,ProductBig_img4,ProductBig_img5,ProductBig_img6,Product_img,Product_price,Product_rating,Ram,Secondary_Camera,TotalRatingReview,Value_for_Money_rating,aboutphone,disc1,disc2,disc3,disc4,disc5,disc6,disc7,link,review_1,review_2,review_3,review_4,review_5
1200,,Asus,,800 x 480,10.16,,Android Jelly Bean 4.3,,8MP Rear Camera,Intel Atom Z2560,,https://rukminim1.flixcart.com/image/512/512/mobile/w/c/y/asus-pf400cg-original-imae2y3ksnf4pqdm.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/w/c/y/asus-padfone-mini-original-imaefn24e9yfctef.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/w/c/y/asus-pf400cg-original-imae2y3kd2umznet.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/w/c/y/asus-padfone-mini-original-imaefn24zvjtsdzs.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/w/c/y/asus-pf400cg-original-imae2y3kcyknq98h.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/w/c/y/asus-padfone-mini-original-imaefn24mhfzycuh.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/mobile/w/c/y/asus-padfone-mini-original-imaefn24e2jhkzvr.jpeg?q=100,"12,999",3.4,1 GB,2MP Front Camera,,,,1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,10.16 cm (4 inch) WVGA Display,8MP Rear Camera | 2MP Front Camera,1200 mAh Lithium Battery,Intel Atom Z2560 Processor,,,https://www.flipkart.com/asus-padfone-mini-white-8-gb/p/itmeuyd9y2z66g3m?pid=MOBEFNFRZNST8WCY&lid=LSTMOBEFNFRZNST8WCYMXS7CX&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBEFNFRZNST8WCY.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
1750,,Asus,,854 x 480,11.43,,Android KitKat 4.4,,8MP Rear Camera,Intel Atom Z2520 Processor with Intel Hyper Threading Technology,,https://rukminim1.flixcart.com/image/512/512/mobile/y/j/r/asus-zenfone-4-a450cg-original-imadz87x7agk2ghh.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/y/j/r/asus-zenfone-4-a450cg-original-imaefnwgtghdhduh.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/y/j/r/asus-zenfone-4-a450cg-original-imadz7z52qe8w2hd.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/y/j/r/asus-zenfone-4-a450cg-original-imadz7z5fdwsuu6f.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/y/j/r/asus-zenfone-4-a450cg-original-imadz7z5by2c9gsv.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/y/j/r/asus-zenfone-4-a450cg-original-imadz7z6uuxaecvg.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/mobile/y/j/r/asus-zenfone-4-a450cg-original-imadz7z6hfhtvvpj.jpeg?q=100,"7,499",3.9,1 GB,0.3MP Front Camera,,,,1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,11.43 cm (4.5 inch) FWVGA Display,8MP Rear Camera | 0.3MP Front Camera,1750 mAh Lithium Battery,Intel Atom Z2520 Processor with Intel Hyper Threading Technology Processor,,,https://www.flipkart.com/asus-zenfone-4-red-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZ9W2TG79YJR&lid=LSTMOBDXZ9W2TG79YJR1BFEVG&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBDXZ9W2TG79YJR.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
1750,,Asus,,854 x 480,11.43,,Android KitKat 4.4,,8MP Rear Camera,Intel Atom Z2520 Processor with Intel Hyper Threading Technology,,https://rukminim1.flixcart.com/image/512/512/mobile/n/y/w/asus-zenfone-4-a450cg-original-imadz87xvaz5fyrs.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/n/y/w/asus-zenfone-4-a450cg-original-imadz7z8z2qjzbrf.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/n/y/w/asus-zenfone-4-a450cg-original-imaefnwgyrcka9vj.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/n/y/w/asus-zenfone-4-a450cg-original-imadz7z8jyznhgah.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/n/y/w/asus-zenfone-4-a450cg-original-imadz7z9hkghevhv.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/n/y/w/asus-zenfone-4-a450cg-original-imadz7z9ujetf74f.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/mobile/n/y/w/asus-zenfone-4-a450cg-original-imadz7z9ujetf74f.jpeg?q=100,"7,499",3.9,1 GB,0.3MP Front Camera,,,,1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,11.43 cm (4.5 inch) FWVGA Display,8MP Rear Camera | 0.3MP Front Camera,1750 mAh Lithium Battery,Intel Atom Z2520 Processor with Intel Hyper Threading Technology Processor,,,https://www.flipkart.com/asus-zenfone-4-yellow-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZAYUUSQVNYW&lid=LSTMOBDXZAYUUSQVNYWZDAPZA&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBDXZAYUUSQVNYW.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
3000,,Asus,,1920 x 1080,13.97,,Android Lollipop 5,,13MP Rear Camera,Qualcomm Snapdragon 615 MSM8939,,https://rukminim1.flixcart.com/image/512/512/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpvwhwajrmrt.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpwy43ythvyn.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpwykf7jjmcx.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpwyj4yzgtxb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpwy6ejhkftg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpwfb2stqjyc.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/mobile/x/d/y/asus-zenfone-selfie-zd551kl-zd551kl-6j210ww-original-imaebpw22xhdrcgd.jpeg?q=100,"9,999",3.9,2 GB,13MP Front Camera,,,,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 13MP Front Camera,3000 mAh Li-Polymer Battery,Qualcomm Snapdragon 615 MSM8939 Processor,,,https://www.flipkart.com/asus-zenfone-selfie-silver-16-gb/p/itmebpvetvsjgp4n?pid=MOBE9YR6VSUHZXDY&lid=LSTMOBE9YR6VSUHZXDYH4CZC6&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBE9YR6VSUHZXDY.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
3000,,Asus,,1280 x 720,13.97,,Android Nougat 7,,16MP Rear Camera,Octa Core Qualcomm Snapdragon 430,,https://rukminim1.flixcart.com/image/512/512/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5fedugy9hb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5ghnv9vbqn.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5fyegyznhu.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5f2mx38pve.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5fzgfsmnzv.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5fjyc8kzxb.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/j8vy1e80/mobile/t/5/v/asus-zenfone-4-selfie-dual-camera-zd553kl-5g037in-5a095in-original-imaeyt5ffhsjarsy.jpeg?q=100,"15,999",4.1,4 GB,20MP + 8MP Dual Front Camera,,,,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13.97 cm (5.5 inch) HD Display,16MP Rear Camera | 20MP + 8MP Dual Front Camera,3000 mAh Battery,Octa Core Qualcomm Snapdragon 430 Processor,,,https://www.flipkart.com/asus-zenfone-4-selfie-dual-camera-black-64-gb/p/itmex8h6tpfgjqhh?pid=MOBEWPZFH8QQDT5V&lid=LSTMOBEWPZFH8QQDT5VUHIPVD&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBEWPZFH8QQDT5V.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
6000,,Asus,,2340 x 1080,16.74,,Android 10,,64MP + 13MP + 5MP,Qualcomm Snapdragon 865+ (SM8250),,https://rukminim1.flixcart.com/image/512/512/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6nmyuyekd.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kfvfwy80/mobile/p/a/h/asus-rog-phone-3-zs661ks-6a039in-original-imafw88ys8bv3yuf.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6gzvthxsb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kckud8w0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftz8b5pypegcc.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kckud8w0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftz8b4aur8w55.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kckud8w0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftz8bfawjeaau.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6arfrxvcr.jpeg?q=100,"49,999",4.5,12 GB,Yes,,,,12 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Full HD+ Display,64MP + 13MP + 5MP | 24MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 865+ (SM8250) Processor,,,https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itmf8623d755871d?pid=MOBFUXPBV3TFMPAH&lid=LSTMOBFUXPBV3TFMPAH63D3RA&marketplace=FLIPKART&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBFUXPBV3TFMPAH.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
6000,,Asus,,2340 x 1080,16.74,,Android 10,,64MP + 13MP + 5MP,Qualcomm Snapdragon 865+ (SM8250),,https://rukminim1.flixcart.com/image/512/512/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6nmyuyekd.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwbrezsxrhhn.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6gzvthxsb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kckud8w0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftz8b5pypegcc.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kckud8w0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftz8b4aur8w55.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6an63fbs3.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc64he7zmay.jpeg?q=100,"46,999",4.4,8 GB,Yes,,,,8 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Full HD+ Display,64MP + 13MP + 5MP | 24MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 865+ (SM8250) Processor,,,https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itm93ba84fa7cce9?pid=MOBFTHGZEYPWHGHE&lid=LSTMOBFTHGZEYPWHGHE6FE3GU&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Asus&fm=organic&iid=a7b0c35d-077a-4efd-9574-5df20073e4d8.MOBFTHGZEYPWHGHE.SEARCH&ssid=byjd0z74gg0000001609840094911,,,,,
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,Qualcomm Snapdragon 730G,,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/g/7/3/poco-x2-na-original-imafzybddssbhvax.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/h/r/c/poco-x2-na-original-imafzz7urvwck8u8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2h8cfbrpzb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hgufg3yj8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hatuz6pbv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hbvjpz2v5.jpeg?q=100,"14,999",4.5,6 GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-phoenix-red-64-gb/p/itmda7dd1f37ffff?pid=MOBFZGJ6Q9A5FHRC&lid=LSTMOBFZGJ6Q9A5FHRCENQ0C3&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=79aa85d9-6568-4219-aff3-fec00d79234d.MOBFZGJ6Q9A5FHRC.SEARCH&ssid=bxwg6gweg00000001609840151742,,,,,
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,Qualcomm Snapdragon 730G,,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/j/h/u/poco-x2-mzb8746in-original-imafzybdxgq5pwgy.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hgk8nzvqg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jpdyt8fq4.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hu7f3hyhv.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jhtqrcuzm.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hkfnvdahb.jpeg?q=100,"14,999",4.5,6 GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-matrix-purple-64-gb/p/itm2db9fa45189d2?pid=MOBFZGJ6HY6H4JHU&lid=LSTMOBFZGJ6HY6H4JHU4GJFSE&marketplace=FLIPKART&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=79aa85d9-6568-4219-aff3-fec00d79234d.MOBFZGJ6HY6H4JHU.SEARCH&ssid=bxwg6gweg00000001609840151742,,,,,
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,Qualcomm Snapdragon 730G,,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/u/s/y/poco-x2-special-edition-mzb9231in-original-imafzybdmgyrrfhk.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/h/r/c/poco-x2-na-original-imafzz7urvwck8u8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2h8cfbrpzb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hgufg3yj8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hatuz6pbv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hbvjpz2v5.jpeg?q=100,"15,999",4.5,6 GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-phoenix-red-128-gb/p/itm399dc084bcc97?pid=MOBFZGJ6AXGFTJSC&lid=LSTMOBFZGJ6AXGFTJSC77SOJU&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=79aa85d9-6568-4219-aff3-fec00d79234d.MOBFZGJ6AXGFTJSC.SEARCH&ssid=bxwg6gweg00000001609840151742,,,,,
