Battery,Battery_rating,Brand,Camera_rating,DisplayResolution,DisplaySize,Display_rating,OS,Performance_rating,Primary_Camera,Processor,ProductBig_img0,ProductBig_img1,ProductBig_img2,ProductBig_img3,ProductBig_img4,ProductBig_img5,ProductBig_img6,Product_img,Product_name,Product_price,Product_rating,Ram,Secondary_Camera,TotalRatingReview,Value_for_Money_rating,aboutphone,disc1,disc2,disc3,disc4,disc5,disc6,disc7,link
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hbfkvftm5.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/k/z/r/poco-x2-special-edition-mzb9232in-original-imafzybd5pe5qpmf.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzgr23cya.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hgecqhrsz.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzm9fjsx8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzkzqgdf4zegy.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzagssfnn.jpeg?q=100,"POCO X2 Special Edition (Atlantis Blue, 128GB)","15,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-special-atlantis-blue-128-gb/p/itmff35a96157b8b?pid=MOBFZHMYYZJUKKZR&lid=LSTMOBFZHMYYZJUKKZRYHVBTP&marketplace=FLIPKART&srno=b_1_11&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZHMYYZJUKKZR.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/h/n/a/poco-x2-special-edition-mzb9230in-original-imafzybdhfsewghc.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hgk8nzvqg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jpdyt8fq4.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hu7f3hyhv.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jhtqrcuzm.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hkfnvdahb.jpeg?q=100,"POCO X2 Special Edition (Matrix Purple, 128GB)","15,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-special-matrix-purple-128-gb/p/itm52ec71e63c4c9?pid=MOBFZHM2QH9QZHNA&lid=LSTMOBFZHM2QH9QZHNANHDIGO&marketplace=FLIPKART&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZHM2QH9QZHNA.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/u/s/y/poco-x2-special-edition-mzb9231in-original-imafzybdmgyrrfhk.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/h/r/c/poco-x2-na-original-imafzz7urvwck8u8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2h8cfbrpzb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hgufg3yj8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hatuz6pbv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hbvjpz2v5.jpeg?q=100,"POCO X2 Special Edition (Phoenix Red, 128GB)","15,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-special-phoenix-red-128-gb/p/itm1e2f124ce82d9?pid=MOBFZHMYTWFZDUSY&lid=LSTMOBFZHMYTWFZDUSYBXLX6F&marketplace=FLIPKART&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZHMYTWFZDUSY.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/g/7/3/poco-x2-na-original-imafzybddssbhvax.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/h/r/c/poco-x2-na-original-imafzz7urvwck8u8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2h8cfbrpzb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hgufg3yj8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hatuz6pbv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hbvjpz2v5.jpeg?q=100,"POCO X2 (Phoenix Red, 64GB)","14,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-phoenix-red-64-gb/p/itmda7dd1f37ffff?pid=MOBFZGJ6Q9A5FHRC&lid=LSTMOBFZGJ6Q9A5FHRCENQ0C3&marketplace=FLIPKART&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6Q9A5FHRC.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hbfkvftm5.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzybdxhcsqtpg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzgr23cya.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzagssfnn.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hgecqhrsz.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzm9fjsx8.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hygc4vc79.jpeg?q=100,"POCO X2 (Atlantis Blue, 256GB)","21,499",4.5,8GB,20MP + 2MP Dual Front Camera,,,,8 GB RAM | 256 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-atlantis-blue-256-gb/p/itm57a8dd0ea482a?pid=MOBFZGJ6FZK2Y4K4&lid=LSTMOBFZGJ6FZK2Y4K4ZXOGKO&marketplace=FLIPKART&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6FZK2Y4K4.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/j/k/d/poco-x2-na-original-imafzybdvrh6f2df.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hgk8nzvqg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hkfnvdahb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jpdyt8fq4.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hu7f3hyhv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hhkpf2prg.jpeg?q=100,"POCO X2 (Matrix Purple, 256GB)","21,499",4.5,8GB,20MP + 2MP Dual Front Camera,,,,8 GB RAM | 256 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-matrix-purple-256-gb/p/itm8d2cf0d1e308d?pid=MOBFZGJ6Y7DCWWUH&lid=LSTMOBFZGJ6Y7DCWWUHKMLLQU&marketplace=FLIPKART&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6Y7DCWWUH.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hdysz9njg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/j/h/u/poco-x2-mzb8746in-original-imafzybdxgq5pwgy.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hgk8nzvqg.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jpdyt8fq4.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hu7f3hyhv.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz8jhtqrcuzm.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/w/u/h/poco-x2-mzb9013in-original-imafzz2hkfnvdahb.jpeg?q=100,"POCO X2 (Matrix Purple, 64GB)","14,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-matrix-purple-64-gb/p/itm2db9fa45189d2?pid=MOBFZGJ6HY6H4JHU&lid=LSTMOBFZGJ6HY6H4JHU4GJFSE&marketplace=FLIPKART&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6HY6H4JHU.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/m/y/k/poco-x2-na-original-imafzybdehfh9xey.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/h/r/c/poco-x2-na-original-imafzz7urvwck8u8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2h8cfbrpzb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hgufg3yj8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hatuz6pbv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hbvjpz2v5.jpeg?q=100,"POCO X2 (Phoenix Red, 256GB)","21,499",4.5,8GB,20MP + 2MP Dual Front Camera,,,,8 GB RAM | 256 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-phoenix-red-256-gb/p/itm065a12f7b9503?pid=MOBFZGJ6BYAPAHBH&lid=LSTMOBFZGJ6BYAPAHBHFDYASI&marketplace=FLIPKART&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6BYAPAHBH.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hbfkvftm5.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/g/e/z/poco-x2-mzb8744in-original-imafzybdeq7uqhju.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzgr23cya.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hgecqhrsz.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzm9fjsx8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzkzqgdf4zegy.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/4/k/4/poco-x2-mzb9011in-original-imafzz2hzagssfnn.jpeg?q=100,"POCO X2 (Atlantis Blue, 64GB)","14,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-atlantis-blue-64-gb/p/itmbe7b58e0378b8?pid=MOBFZGJ6ZGMD7GEZ&lid=LSTMOBFZGJ6ZGMD7GEZAOQLPQ&marketplace=FLIPKART&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6ZGMD7GEZ.SEARCH&ssid=qr2gcxkrsw0000001610015535405
4500,,POCO,,2400 x 1080,16.94,,Android 10,,64MP + 8MP + 2MP + 2MP,2.2 GHz,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hjssyrsha.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k6i7zww0/mobile/u/s/y/poco-x2-special-edition-mzb9231in-original-imafzybdmgyrrfhk.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/h/r/c/poco-x2-na-original-imafzz7urvwck8u8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2h8cfbrpzb.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hgufg3yj8.jpeg?q=100,https://rukminim1.flixcart.com/image/512/512/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hatuz6pbv.jpeg?q=100,,https://rukminim1.flixcart.com/image/128/128/k65d18w0/mobile/g/7/3/poco-x2-na-original-imafzz2hbvjpz2v5.jpeg?q=100,"POCO X2 (Phoenix Red, 128GB)","15,999",4.5,6GB,20MP + 2MP Dual Front Camera,,,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,,,https://www.flipkart.com/poco-x2-phoenix-red-128-gb/p/itm399dc084bcc97?pid=MOBFZGJ6AXGFTJSC&lid=LSTMOBFZGJ6AXGFTJSC77SOJU&marketplace=FLIPKART&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Poco%20X2&fm=organic&iid=2b1a9a9c-19ee-4fcf-9047-a9e1a5867555.MOBFZGJ6AXGFTJSC.SEARCH&ssid=qr2gcxkrsw0000001610015535405
